Topic,Words,Frequency,Timestamp,Name
-1,"falls, mining, ring, mr, development",2,2023-12-31 13:52:19.200,-1_government_ontario_said_ford
0,"crombie, liberal, gta, ford, mississauga",4,2023-12-31 13:52:19.200,0_ford_election_tariffs_trump
1,"gelinas, health, surgery, timely, aggressive",1,2023-12-31 13:52:19.200,1_care_health_hospital_health care
2,"tax, new, school, government, ontario",1,2023-12-31 13:52:19.200,2_tax_billion_government_ford
10,"housing, affordable, daycare, price, rent",2,2023-12-31 13:52:19.200,10_housing_homes_affordable_units
11,"power, electricity, renewable, energy, wind",2,2023-12-31 13:52:19.200,11_energy_power_electricity_gas
18,"greenbelt, dinner, said, developers, commissioner",2,2023-12-31 13:52:19.200,18_greenbelt_commissioner_rcmp_integrity
20,"catholic, french, boards, english, unions",1,2023-12-31 13:52:19.200,20_workers_wage_court_public sector
-1,"mpps, pay, salaries, mpp, makes",1,2024-01-09 10:33:36.000,-1_government_ontario_said_ford
0,"crombie, fundraising, salary, party, leader",3,2024-01-09 10:33:36.000,0_ford_election_tariffs_trump
1,"hospitals, hospital, family, health, care",3,2024-01-09 10:33:36.000,1_care_health_hospital_health care
3,"foreign, students, colleges, student, foreign students",1,2024-01-09 10:33:36.000,3_students_colleges_school_education
11,"climate, energy, climate change, power, wind",5,2024-01-09 10:33:36.000,11_energy_power_electricity_gas
16,"studio, amazon, toronto, space, statement toronto",1,2024-01-09 10:33:36.000,16_place_ontario place_therme_ontario
18,"greenbelt, wake, integrity, commissioner, integrity commissioner",2,2024-01-09 10:33:36.000,18_greenbelt_commissioner_rcmp_integrity
19,"serviceontario, locations, bags, services, paper",10,2024-01-09 10:33:36.000,19_bags_paper_serviceontario_paper bags
-1,"harassment, municipal, said, ontario, government",6,2024-01-17 21:07:12.000,-1_government_ontario_said_ford
0,"gill, milton, riding, minister, party",3,2024-01-17 21:07:12.000,0_ford_election_tariffs_trump
1,"hospitals, nurses, clinics, health, agencies",3,2024-01-17 21:07:12.000,1_care_health_hospital_health care
3,"students, student, tuition, international, colleges",7,2024-01-17 21:07:12.000,3_students_colleges_school_education
4,"convoy, act, jones, emergencies, federal",1,2024-01-17 21:07:12.000,4_encampments_homeless_people_housing
10,"housing, municipalities, rural, towns, homes",2,2024-01-17 21:07:12.000,10_housing_homes_affordable_units
11,"renewable, energy, renewable energy, wind, power",1,2024-01-17 21:07:12.000,11_energy_power_electricity_gas
14,"ndp, caucus, guelph, national post, convention",1,2024-01-17 21:07:12.000,14_arnott_speaker_legislature_wearing
17,"lrt, mississauga, brampton, metrolinx, loop",1,2024-01-17 21:07:12.000,17_transit_metrolinx_lrt_crosstown
18,"greenbelt, email, commissioner, integrity commissioner, integrity",4,2024-01-17 21:07:12.000,18_greenbelt_commissioner_rcmp_integrity
-1,"cabinet, letters, information, government, court",10,2024-01-26 07:40:48.000,-1_government_ontario_said_ford
0,"cent, crombie, party, said, milton",6,2024-01-26 07:40:48.000,0_ford_election_tariffs_trump
1,"care, health, primary care, doctors, primary",5,2024-01-26 07:40:48.000,1_care_health_hospital_health care
3,"students, colleges, universities, tuition, international",10,2024-01-26 07:40:48.000,3_students_colleges_school_education
9,"police, auto, theft, criminal, auto theft",5,2024-01-26 07:40:48.000,9_judges_police_bail_judicial
10,"housing, toronto, chow, city, budget",2,2024-01-26 07:40:48.000,10_housing_homes_affordable_units
11,"pickering, nuclear, power, energy, electricity",4,2024-01-26 07:40:48.000,11_energy_power_electricity_gas
19,"bags, mccarthy, locations, serviceontario, service",2,2024-01-26 07:40:48.000,19_bags_paper_serviceontario_paper bags
20,"hotel, government said, news conference, niagara falls, expensive",1,2024-01-26 07:40:48.000,20_workers_wage_court_public sector
21,"mzos, zoning, development, developers, land",3,2024-01-26 07:40:48.000,21_land_development_urban_appeal
-1,"plates, renewal, plate, motorists, renew",4,2024-02-03 18:14:24.000,-1_government_ontario_said_ford
0,"ford, crombie, said, ontario, liberal",7,2024-02-03 18:14:24.000,0_ford_election_tariffs_trump
